Unnamed: 0,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Yield 2,ee 3,Product 2 R or S,Pre catalyst 2(True or False),Ammount of additive 2,dr 3,Type of Coordination Atoms 2,Additive 2 step 2,L/M 1,L/M 2,Yield 1,Charge of Ligand 2,Ammount of reactant 1(mmol),Central Metal of Catalyst 2,Solvent Ratio,Pressure/atm,S/C 2,Solvent 2 ammount(mL),Valence of Central Metal 1,ee 1,Valence of Central Metal 2,Pre catalyst 1(True or False),Central Metal of Catalyst 1,Ligand Name 2,Ammount of additive 2 step 2,dr 2,Product 3 R or S,"Other information(use ""-"" to split, eg. 'property1-property2')",Reactant Name 2,Ligand 1 Type,Reaction ID,Additive 2,Additive 1 step 2,Reaction Temperature/C step 2,Product Name 2,Product Name 3,Reaction Temperature/C,(Pre)Catalyst Name 2,pdf name (don't include '.pdf'),Solvent 1 ammount(mL),dr 1,S/C 1,Ligand 2 Type,Type of Coordination Atoms 1,Ammount of additive 1 step 2,Reaction Time/h,Number of Coordination Atoms 1,Solvent 2,Ammount of additive 1,ee 2,Ammount of reactant 2(mmol),Reaction Time/h step 2,Product 1 R or S,LED,Number of Coordination Atoms 2,LED step 2,Ammount of Molecular Sieve(mg),Charge of Ligand 1,Reaction Type,Ref.(DOI),Yield 3,"Molecular Sieve(3A, 4A, 5A)"
0,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(-n2c[n+](-c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)c3c2-c2cccc4cccc-3c24)c([C@H](C)c2ccccc2)c1.[Cl-],c1ccccc1,,CC(C)(C)[O-].[K+],C[Al](C)C,,,,,,0.04,,,,1.0,,0.99,,0.1,,,,,,0,0.58,,True,Ni,,,,,,,,1,AlMe3,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
1,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(-n2cc[n+](-c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)c2)c([C@H](C)c2ccccc2)c1.[Cl-],c1ccccc1,,CC(C)(C)[O-].[K+],C[Al](C)C,,,,,,0.04,,,,1.0,,0.86,,0.1,,,,,,0,0.61,,True,Ni,,,,,,,,2,AlMe3,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
2,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],c1ccccc1,,CC(C)(C)[O-].[K+],C[Al](C)C,,,,,,0.04,,,,1.0,,0.99,,0.1,,,,,,0,0.86,,True,Ni,,,,,,,,3,AlMe3,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
3,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C)cc(C(C)c2cc(C)cc([C@H](C)c3cc(C)cc(C)c3)c2N2C=[N+](c3c(C(C)c4cc(C)cc(C)c4)cc(C)cc3[C@H](C)c3cc(C)cc(C)c3)CC2)c1.[Cl-],c1ccccc1,,CC(C)(C)[O-].[K+],C[Al](C)C,,,,,,0.04,,,,1.0,,0.99,,0.1,,,,,,0,0.94,,True,Ni,,,,,,,,4,AlMe3,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
4,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],C[Al](C)C,,,,,,0.04,,,,1.0,,0.99,,0.1,,,,,,0,0.91,,True,Ni,,,,,,,,5,AlMe3,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
5,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],CCCCCC,,CC(C)(C)[O-].[K+],C[Al](C)C,,,,,,0.04,,,,1.0,,0.99,,0.1,,,,,,0,0.86,,True,Ni,,,,,,,,6,AlMe3,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
6,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],C1CCOC1,,CC(C)(C)[O-].[K+],C[Al](C)C,,,,,,0.04,,,,1.0,,0.5,,0.1,,,,,,0,0.68,,True,Ni,,,,,,,,7,AlMe3,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
7,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],CCOC(C)=O,,CC(C)(C)[O-].[K+],C[Al](C)C,,,,,,0.04,,,,1.0,,0.99,,0.1,,,,,,0,0.9,,True,Ni,,,,,,,,8,AlMe3,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
8,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],CC[Al](Cl)CC,,,,,,0.04,,,,1.0,,0.1,,0.1,,,,,,0,0.91,,True,Ni,,,,,,,,9,Et2AlCI,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
9,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],CC(C)O[Al](OC(C)C)OC(C)C,,,,,,0.04,,,,1.0,,0.0,,0.1,,,,,,0,,,True,Ni,,,,,,,,10,Al(OiPr)3,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
10,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],,,,,,,,,,,1.0,,0.0,,0.1,,,,,,0,,,True,Ni,,,,,,,,11,,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
11,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],Cc1cc(C(C)(C)C)c(O[Al](C)Oc2c(C(C)(C)C)cc(C)cc2C(C)(C)C)c(C(C)(C)C)c1,,,,,,0.04,,,,1.0,,0.99,,0.1,,,,,,0,0.96,,True,Ni,,,,,,,,12,MAD,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
12,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],CC[Al](CC)CC,,,,,,0.04,,,,1.0,,0.99,,0.1,,,,,,0,0.93,,True,Ni,,,,,,,,13,AlEt3,,,,,80,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
13,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],CC[Al](CC)CC,,,,,,0.04,,,,1.0,,0.99,,0.1,,,,,,0,0.97,,True,Ni,,,,,,,,14,AlEt3,,,,,60,,10.1002_adsc.201901582,0.2,,50,,C,,24,1,,0.006,,,,R,,,,,0,1,10.1002_adsc.201901582,,
14,C=C(C)CCn1ccccc1=O,,C[C@@H]1CCn2c(cccc2=O)C1,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],CC[Al](CC)CC,,,,,,0.08,,,,1.0,,0.98,,0.2,,,,,,0,0.97,,True,Ni,,,,,,,,15,AlEt3,,,,,60,,10.1002_adsc.201901582,0.4,,50,,C,,12,1,,0.012,,,,R,,,,,0,1,10.1002_adsc.201901582,,
15,C=C(C)CCn1cccc(C)c1=O,,Cc1ccc2n(c1=O)CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],CC[Al](CC)CC,,,,,,0.08,,,,1.0,,0.98,,0.2,,,,,,0,0.96,,True,Ni,,,,,,,,16,AlEt3,,,,,60,,10.1002_adsc.201901582,0.4,,50,,C,,12,1,,0.012,,,,R,,,,,0,1,10.1002_adsc.201901582,,
16,C=C(C)CCn1ccc(C)cc1=O,,Cc1cc2n(c(=O)c1)CC[C@@H](C)C2,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],CC[Al](CC)CC,,,,,,0.08,,,,1.0,,0.99,,0.2,,,,,,0,0.95,,True,Ni,,,,,,,,17,AlEt3,,,,,80,,10.1002_adsc.201901582,0.4,,50,,C,,12,1,,0.012,,,,R,,,,,0,1,10.1002_adsc.201901582,,
17,C=C(C)CCn1cc(C)ccc1=O,,Cc1ccc(=O)n2c1C[C@H](C)CC2,,C1=C\CC/C=C\CC/1.C1=C\CC/C=C\CC/1.[Ni],Cc1cc(C(C)c2ccccc2)c(N2C=[N+](c3c(C(C)c4ccccc4)cc(C)cc3[C@H](C)c3ccccc3)CC2)c([C@H](C)c2ccccc2)c1.[Cl-],Cc1ccccc1,,CC(C)(C)[O-].[K+],CC[Al](CC)CC,,,,,,0.08,,,,1.0,,0.93,,0.2,,,,,,0,0.99,,True,Ni,,,,,,,,18,AlEt3,,,,,60,,10.1002_adsc.201901582,0.4,,50,,C,,12,1,,0.012,,,,R,,,,,0,1,10.1002_adsc.201901582,,
