,Reactant SMILES,Reactant SMILES_2,Product SMILES,Product SMILES_2,Catalyst SMILES,Ligand SMILES,Solvent SMILES,Solvent SMILES_2,Additive SMILES,Additive SMILES_2,Additive SMILES_s2,Ref.(DOI),pdf name (don't include '.pdf'),L/M 1,S/C 1,Reaction Temperature/C,dr 1,Ammount of additive 1,Product 1 R or S,Ammount of additive 2,"Molecular Sieve(3A, 4A, 5A)",Yield 1,Solvent 1 ammount(mL),Charge of Ligand 1,Type of Coordination Atoms,Central Metal of Catalyst 1,Ligand 1 Type,Number of Coordination Atoms,Ammount of reactant 1(mmol),Ammount of Molecular Sieve(mg),Pre catalyst 1(True or False),Reaction ID,Yield 2,Valence of Central Metal 1,"Other information(use ""-"" to split, eg. 'property1-property2')",Product 2 R or S,Pressure/atm,ee 1,ee 2,Reaction Time/h,Reaction Type,Solvent Ratio,Ammount of reactant 2(mmol)
0,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Sc+3],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Sc,,4.0,0.1,,True,1,NR,3.0,,R,1,,,48,2,,
1,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Ni+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.14,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,2,0.29,2.0,,R,1,,0.92,48,2,,
2,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Cu+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Cu,,4.0,0.1,,True,3,NR,2.0,,R,1,,,48,2,,
3,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Zn+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Zn,,4.0,0.1,,True,4,NR,2.0,,R,1,,,48,2,,
4,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[La+3],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",La,,4.0,0.1,,True,5,NR,3.0,,R,1,,,48,2,,
5,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Mg+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Mg,,4.0,0.1,,True,6,NR,2.0,,R,1,,,48,2,,
6,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S([O-])(C(F)(F)F)=O.O=S([O-])(C(F)(F)F)=O.O=S([O-])(C(F)(F)F)=O.[Yb+3],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Yb,,4.0,0.1,,True,7,NR,3.0,,R,1,,,48,2,,
7,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Ca+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Ca,,4.0,0.1,,True,8,NR,2.0,,R,1,,,48,2,,
8,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=Cl(=O)([O-])=O.O=Cl(=O)([O-])=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[Co+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.59,1.0,0.0,"O,O,O,O",Co,,4.0,0.1,,True,9,trace,2.0,,R,1,,0.86,48,2,,
9,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=Cl(=O)([O-])=O.O=Cl(=O)([O-])=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[Ni+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.19,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,10,0.25,2.0,,R,1,,0.93,48,2,,
10,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,F[B-](F)(F)F.F[B-](F)(F)F.[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[Ni+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.16,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,11,0.3,2.0,,R,1,,0.91,48,2,,
11,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,CC(/C=C([O-])\C)=O.[O-]/C(C)=C/C(C)=O.[Ni+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,12,NR,2.0,,R,1,,,48,2,,
12,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,[Ni+2].[Cl-].[Cl-],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,13,NR,2.0,,R,1,,,48,2,,
13,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F.FC(F)(S(=O)([N-]S(=O)(C(F)(F)F)=O)=O)F.[Ni+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.0,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,14,NR,2.0,,R,1,,,48,2,,
14,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,CC([O-])=O.CC([O-])=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H].[Ni+2],O=C(N(C(C1=CC=CC=C1)C2=CC=CC=C2)[H])[C@H]3[N@@+]([O-])(CCCC3)CCC[N@@+]4([O-])[C@@H](CCCC4)C(N(C(C5=CC=CC=C5)C6=CC=CC=C6)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,15,NR,2.0,,R,1,,,48,2,,
15,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Ni+2],O=C(N([H])C1=CC=C(C23CC4CC(C3)CC(C4)C2)C=C1)[C@H]5[N@@+]([O-])(CCCC5)CCC[N@@+]6([O-])[C@@H](CCCC6)C(N([H])C7=CC=C(C89CC%10CC(C9)CC(C%10)C8)C=C7)=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,16,NR,2.0,,R,1,,,48,2,,
16,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Ni+2],O=C(N([C@@H](C)C1=CC=CC=C1)[H])[C@H]2[N@@+]([O-])(CCCC2)CCC[N@@+]3([O-])[C@@H](CCCC3)C(N([C@H](C4=CC=CC=C4)C)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,17,trace,2.0,,R,1,,,48,2,,
17,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Ni+2],O=C(N(C1CCCCC1)[H])[C@H]2[N@@+]([O-])(CCCC2)CCC[N@@+]3([O-])[C@@H](CCCC3)C(N(C4CCCCC4)[H])=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.46,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,18,0.17,2.0,,R,1,,0.96,48,2,,
18,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Ni+2],O=C(N([H])C1=C(C)C=CC=C1C)[C@H]2[N@@+]([O-])(CCCC2)CCC[N@@+]3([O-])[C@@H](CCCC3)C(N([H])C4=C(C)C=CC=C4C)=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.83,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,19,0.05,2.0,,R,1,,0.95,48,2,,
19,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Ni+2],O=C(N([H])C1=C(C(C)C)C=CC=C1C(C)C)[C@H]2[N@@+]([O-])(CCCC2)CCC[N@@+]3([O-])[C@@H](CCCC3)C(N([H])C4=C(C(C)C)C=CC=C4C(C)C)=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.83,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,20,0.11,2.0,,R,1,,0.98,48,2,,
20,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=S(C(F)(F)F)([O-])=O.O=S(C(F)(F)F)([O-])=O.[Ni+2],O=C(N([H])C1=C(C(C)C)C=C(C(C)C)C=C1C(C)C)[C@H]2[N@@+]([O-])(CCCC2)CCC[N@@+]3([O-])[C@@H](CCCC3)C(N([H])C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C)=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.88,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,21,0.14,2.0,,R,1,,0.98,48,2,,
21,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=Cl(=O)([O-])=O.O=Cl(=O)([O-])=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[Ni+2],O=C(N([H])C1=C(C(C)C)C=C(C(C)C)C=C1C(C)C)[C@H]2[N@@+]([O-])(CCCC2)CCC[N@@+]3([O-])[C@@H](CCCC3)C(N([H])C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C)=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.74,1.0,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,22,0.24,2.0,,R,1,,0.99,48,2,,
22,CC(C#CC1=CC=CC=C1)OC(C(OC)=O)C(OC)=O,,C[C@](C#CC1=CC=CC=C1)([H])OC(C(OC)=O)C(OC)=O,OC(C(C1=CC=CC=C1)=[C@]=C([H])C)(C(OC)=O)C(OC)=O,O=Cl(=O)([O-])=O.O=Cl(=O)([O-])=O.[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[H]O[H].[Ni+2],O=C(N([H])C1=CC(C(C)(C)C)=CC(C(C)(C)C)=C1)[C@H]2[N@@+]([O-])(CCCC2)CCC[N@@+]3([O-])[C@@H](CCCC3)C(N([H])C4=CC(C(C)(C)C)=CC(C(C)(C)C)=C4)=O,CC(OCC)=O,,CCN(CC)CC,,,10.1021/acs.orglett.0c00649,"Org. Lett. 2020, 22, 2692",1,10,50,,1.2,S,,,0.18,0.3,0.0,"O,O,O,O",Ni,,4.0,0.1,,True,23,0.32,2.0,,R,1,,0.38,48,2,,
